vendor,family,source,dof,link_count,fidelity_class,scale_class,mesh_bytes_total,aabb_x_m,aabb_y_m,aabb_z_m,joint_range_total_rad,joint_range_total_m,license,dedup_group_size,path
unitree,laikago,bullet3,12,17,medium,tabletop,3089494,0.6015,0.2728,0.4883,0.0,0.0,zlib (most files); see LICENSE.txt for exceptions,1,bullet3/examples/pybullet/gym/pybullet_data/laikago/laikago_toes_zup.urdf
unitree,laikago,bullet3,12,17,low,tabletop,193837,0.6015,0.2728,0.4883,0.0,0.0,zlib (most files); see LICENSE.txt for exceptions,1,bullet3/examples/pybullet/gym/pybullet_data/laikago/laikago_toes_zup_lores.urdf
unitree,z1,mujoco_menagerie,6,8,medium,tabletop,3202896,0.35,0.0,0.1605,22.39257,0.0,BSD-3-Clause (Menagerie: unitree_z1),2,mujoco_menagerie/unitree_z1/z1.xml
unitree,z1,mujoco_menagerie,7,9,medium,tabletop,4412364,0.4372,0.0,0.1605,23.911009999999997,0.0,BSD-3-Clause (Menagerie: unitree_z1),1,mujoco_menagerie/unitree_z1/z1_gripper.xml
universal_robots,ur10,mujoco_menagerie,6,8,high,fullsize,6174828,1.184,0.176,0.181,37.69893,0.0,BSD-3-Clause (Menagerie: universal_robots_ur10e),3,mujoco_menagerie/universal_robots_ur10e/ur10e.xml
universal_robots,ur10,robot-assets,6,11,high,fullsize,9060850,1.1843,0.2561,0.1273,69.11503837897999,0.0,varies by upstream repo (see README.md),4,robot-assets/urdfs/robots/ur10/ur10_robot.urdf
universal_robots,ur10,urdf_files_dataset,6,11,high,fullsize,9231107,1.1843,0.2561,0.1273,69.11503837897999,0.0,"MIT (Daniella Tola, 2023)",1,urdf_files_dataset/urdf_files/matlab/ur_description/urdf/universalUR10.urdf
universal_robots,ur16,urdf_files_dataset,6,11,high,tabletop,9891241,0.8384,0.2907,0.1807,69.11503837897544,0.0,"MIT (Daniella Tola, 2023)",1,urdf_files_dataset/urdf_files/ros-industrial/xacro_generated/universal_robots/ur_description/urdf/ur16e.urdf
universal_robots,ur3,urdf_files_dataset,6,11,high,tabletop,5447198,0.4569,0.1942,0.1519,69.11503837897999,0.0,"MIT (Daniella Tola, 2023)",1,urdf_files_dataset/urdf_files/matlab/ur_description/urdf/universalUR3.urdf
universal_robots,ur3,urdf_files_dataset,6,11,high,tabletop,6945890,0.4569,0.1942,0.1519,37.69911184307752,0.0,"MIT (Daniella Tola, 2023)",2,urdf_files_dataset/urdf_files/robotics-toolbox/xacro_generated/ur_description/urdf/ur3.urdf
universal_robots,ur3,urdf_files_dataset,6,11,high,tabletop,10220630,0.4567,0.2231,0.1519,69.11503837897544,0.0,"MIT (Daniella Tola, 2023)",1,urdf_files_dataset/urdf_files/ros-industrial/xacro_generated/universal_robots/ur_description/urdf/ur3e.urdf
universal_robots,ur5,mujoco_menagerie,6,8,high,tabletop,5764812,0.817,0.138,0.163,37.69893,0.0,BSD-3-Clause (Menagerie: universal_robots_ur5e),4,mujoco_menagerie/universal_robots_ur5e/ur5e.xml
universal_robots,ur5,robot-assets,6,11,high,tabletop,6663139,0.8173,0.1915,0.0946,37.699111800000004,0.0,varies by upstream repo (see README.md),2,robot-assets/urdfs/robots/ur5/ur5_gripper.urdf
universal_robots,ur5,urdf_files_dataset,6,11,high,tabletop,6275526,0.8173,0.1915,0.0946,69.11503837897999,0.0,"MIT (Daniella Tola, 2023)",1,urdf_files_dataset/urdf_files/matlab/ur_description/urdf/universalUR5.urdf
universal_robots,ur5,urdf_files_dataset,6,11,high,tabletop,6681474,0.8173,0.1915,0.0946,37.69911184307752,0.0,"MIT (Daniella Tola, 2023)",2,urdf_files_dataset/urdf_files/robotics-toolbox/xacro_generated/ur_description/urdf/ur5.urdf
willow_garage,pr2,bullet3,2,5,low,compact,59936,0.2,0.02,0.0,8.548,0.0,zlib (most files); see LICENSE.txt for exceptions,2,bullet3/data/pr2_gripper.urdf
willow_garage,pr2,robot-assets,32,50,medium,fullsize,3107348,1.2293,0.5472,1.2366,39.488828000006,0.33,varies by upstream repo (see README.md),2,robot-assets/urdfs/robots/pr2/pr2.urdf
willow_garage,pr2,urdf_files_dataset,39,95,medium,fullsize,4630508,1.241,0.5472,1.4641,58.338386000006,0.91,"MIT (Daniella Tola, 2023)",1,urdf_files_dataset/urdf_files/matlab/pr2_description/robots/willowgaragePR2.urdf
willow_garage,pr2,urdf_files_dataset,39,88,medium,fullsize,3714424,1.241,0.5472,1.2912,58.338386,0.91,"MIT (Daniella Tola, 2023)",1,urdf_files_dataset/urdf_files/robotics-toolbox/xacro_generated/pr2_description/robots/pr2.urdf
wonik,allegro,mujoco_menagerie,16,22,low,compact,399708,0.1919,0.1785,0.0182,25.536999999999995,0.0,BSD-3-Clause (Menagerie: wonik_allegro),4,mujoco_menagerie/wonik_allegro/left_hand.xml
yaskawa,yaskawa,urdf_files_dataset,6,7,high,tabletop,9247288,0.444,0.0,0.6799,40.072700000000005,0.0,"MIT (Daniella Tola, 2023)",1,urdf_files_dataset/urdf_files/matlab/motoman_mh5_support/urdf/yaskawaMotomanMH5.urdf
